label,text
1,"Creates a {@link HtmlPage} from a given {@link String} that contains the HTML code for that page.

@param string {@link String} that contains the HTML code
@return {@link HtmlPage} for this {@link String}[SEP]public static HtmlPage toHtmlPage(String string) {
        try {
            URL url = new URL(""http://bitvunit.codescape.de/some_page.html"");
            return HTMLParser.parseHtml(new StringWebResponse(string, url), new WebClient().getCurrentWindow());
        } catch (IOException e) {
            throw new RuntimeException(""Error creating HtmlPage from String."", e);
        }
    }"
1,"Create a {@link HtmlPage} from a given {@link WebDriver} that has been navigated to a HTML page.

@param webDriver {@link WebDriver} that has been navigated to a HTML page
@return {@link HtmlPage} for the {@link WebDriver}[SEP]public static HtmlPage toHtmlPage(WebDriver webDriver) {
        try {
            return HTMLParser.parseHtml(
                    new StringWebResponse(webDriver.getPageSource(), new URL(webDriver.getCurrentUrl())),
                    new WebClient().getCurrentWindow()
            );
        } catch (IOException e) {
            throw new RuntimeException(""Error creating HtmlPage from WebDriver."", e);
        }
    }"
1,"Reverses the input string.

@param string
the string to be reversed.
@return
the reversed string.[SEP]public static String reverse(String string) {
		if(string != null) {
			return new StringBuilder(string).reverse().toString();
		}
		return null;
	}"
1,"Returns the {@link HtmlElement} with the given id.

@param elementId id to search for on the HTML page
@return {@link HtmlElement} with the given id[SEP]public HtmlElement findHtmlElementById(String elementId) {
        try {
            return htmlPage.getHtmlElementById(elementId);
        } catch (ElementNotFoundException e) {
            return null;
        }
    }"
1,"Format the current time in the specified format.

@return the time string.[SEP]@NonNull
    public static String getNowDateTime(@NonNull String format) {
        SimpleDateFormat formatter = new SimpleDateFormat(format, Locale.ENGLISH);
        Date curDate = new Date(System.currentTimeMillis());
        return formatter.format(curDate);
    }"
0,"Converts the given postgresql seconds to java seconds. Reverse engineered by inserting varying
dates to postgresql and tuning the formula until the java dates matched. See {@link #toPgSecs}
for the reverse operation.

@param secs Postgresql seconds.
@return Java seconds.[SEP]private static long toJavaSecs(long secs) {
    // postgres epoc to java epoc
    secs += 946684800L;

    // Julian/Gregorian calendar cutoff point
    if (secs < -12219292800L) { // October 4, 1582 -> October 15, 1582
      secs += 86400 * 10;
      if (secs < -14825808000L) { // 1500-02-28 -> 1500-03-01
        int extraLeaps = (int) ((secs + 14825808000L) / 3155760000L);
        extraLeaps--;
        extraLeaps -= extraLeaps / 4;
        secs += extraLeaps * 86400L;
      }
    }
    return secs;
  }"
0,"Converts the given java seconds to postgresql seconds. See {@link #toJavaSecs} for the reverse
operation. The conversion is valid for any year 100 BC onwards.

@param secs Postgresql seconds.
@return Java seconds.[SEP]private static long toPgSecs(long secs) {
    // java epoc to postgres epoc
    secs -= 946684800L;

    // Julian/Greagorian calendar cutoff point
    if (secs < -13165977600L) { // October 15, 1582 -> October 4, 1582
      secs -= 86400 * 10;
      if (secs < -15773356800L) { // 1500-03-01 -> 1500-02-28
        int years = (int) ((secs + 15773356800L) / -3155823050L);
        years++;
        years -= years / 4;
        secs += years * 86400;
      }
    }

    return secs;
  }"
0,"Replaces positional substitution patterns of the form %{\d} with
corresponding element of the given subs array.
Note that %{\d} numbers are 1-based, so we lok for subs[x-1].[SEP]public String posSubst(String s, String[] subs, int behavior) {
        Matcher matcher = posPattern.matcher(s);
        int previousEnd = 0;
        StringBuffer sb = new StringBuffer();
        String varValue;
        int varIndex;
        String condlVal;  // Conditional : value
        while (matcher.find()) {
            varIndex = Integer.parseInt(matcher.group(1)) - 1;
            condlVal = ((matcher.groupCount() > 1) ? matcher.group(2) : null);
            varValue = ((varIndex < subs.length) ? subs[varIndex] : null);
            if (condlVal != null) {
                // Replace varValue (the value to be substituted), with
                // the post-:+ portion of the expression.
                varValue = ((varValue == null)
                        ? """"
                        : condlVal.replaceAll(""\\Q%"" + (varIndex+1) + ""\\E\\b"",
                                RefCapablePropertyResourceBundle.literalize(
                                        varValue)));
            }
            // System.err.println(""Behavior: "" + behavior);
            if (varValue == null) switch (behavior) {
                case THROW_BEHAVIOR:
                    throw new RuntimeException(
                            Integer.toString(subs.length)
                            + "" positional values given, but property string ""
                            + ""contains ("" + matcher.group() + "")."");
                case EMPTYSTRING_BEHAVIOR:
                    varValue = """";
                case NOOP_BEHAVIOR:
                    break;
                default:
                    throw new RuntimeException(
                            ""Undefined value for behavior: "" + behavior);
            }
            sb.append(s.substring(previousEnd, matcher.start())
                        + ((varValue == null) ? matcher.group() : varValue));
            previousEnd = matcher.end();
        }
        return (previousEnd < 1) ? s
                                 : (sb.toString() + s.substring(previousEnd));
    }"
0,"Converts the decoded buffer into a BufferedImage.
precision: 16 bit, componentCount = 1

@param decoded data buffer
@param precision
@param width   of the image
@param height  of the image   @return a BufferedImage.TYPE_USHORT_GRAY[SEP]private BufferedImage to16Bit1ComponentGrayScale(int[][] decoded, int precision, int width, int height) {
        BufferedImage image;
        if (precision == 16) {
            image = new BufferedImage(width, height, BufferedImage.TYPE_USHORT_GRAY);
        }
        else {
            ColorModel colorModel = new ComponentColorModel(ColorSpace.getInstance(ColorSpace.CS_GRAY), new int[] {precision}, false, false, Transparency.OPAQUE, DataBuffer.TYPE_USHORT);
            image = new BufferedImage(colorModel, colorModel.createCompatibleWritableRaster(width, height), colorModel.isAlphaPremultiplied(), null);
        }

        short[] imageBuffer = ((DataBufferUShort) image.getRaster().getDataBuffer()).getData();

        for (int i = 0; i < imageBuffer.length; i++) {
            imageBuffer[i] = (short) decoded[0][i];
        }

        return image;
    }"
1,"Receive a UDP packet from the tracker.

@param attempt The attempt number, used to calculate the timeout for the
receive operation.
@retun Returns a {@link ByteBuffer} containing the packet data.[SEP]private ByteBuffer recv(int attempt)
          throws IOException, SocketException, SocketTimeoutException {
    int timeout = UDP_BASE_TIMEOUT_SECONDS * (int) Math.pow(2, attempt);
    logger.trace(""Setting receive timeout to {}s for attempt {}..."",
            timeout, attempt);
    this.socket.setSoTimeout(timeout * 1000);

    try {
      DatagramPacket p = new DatagramPacket(
              new byte[UDP_PACKET_LENGTH],
              UDP_PACKET_LENGTH);
      this.socket.receive(p);
      return ByteBuffer.wrap(p.getData(), 0, p.getLength());
    } catch (SocketTimeoutException ste) {
      throw ste;
    }
  }"
1,"Internal method to call recv on the socket.
Does not trap any ZMQExceptions but expects caling routine to handle them.
@param socket
0MQ socket to read from
@return
byte[] data[SEP]private byte[] recv(Socket socket, int flags)
    {
        Utils.checkArgument(socket != null, ""socket parameter must not be null"");
        data = socket.recv(flags);
        more = socket.hasReceiveMore();
        return data;
    }"
1,"Compute the median of an array efficiently using the QuickSelect method.

Note: the array is <b>modified</b> by this.

@param <T> object type
@param data Data to process
@param comparator Comparator to use
@return Median value[SEP]public static <T> T median(List<? extends T> data, Comparator<? super T> comparator) {
    return median(data, comparator, 0, data.size());
  }"
