,function,docstring,file_name,id,label
0,"public void act(List<Animal> newkingfishers)
    {
        incrementAge();
        incrementHunger();
        // Snow affects animals' movements.
        if(isAlive() && rand.nextDouble() >= 0.25*field.getWeather(location.getRow(), location.getCol(), 2)) {
            if (isHealthy())
            {
             Random rand = new Random();
             boolean randomSick = (rand.nextDouble() <= ANIMAL_GET_SICK_PROBABILITY ) ? true : false;
            if(randomSick)
            {
             makeSick();
             age = MAX_AGE - MAX_AGE/10;
            }
            }
            if (!isHealthy())
            {
                spreadDisease();
            }
            giveBirth(newkingfishers);            
            // Move towards a source of food if found.
            Location newLocation = null;
            if (rand.nextDouble() >= 0.25*field.getWeather(location.getRow(), location.getCol(), 1))
                newLocation = findFood();
            if(newLocation == null) { 
                // No food found - try to move to a free location.
                newLocation = field.freeAdjacentLocation(getSuitableLocations(getLocation()));
            }
            // See if it was possible to move.
            if(newLocation != null) {
                setLocation(newLocation);
            }
            else {
                // Overcrowding.
                setDead();
            }
        }
    }","This is what the kingfisher does most of the time: it hunts for
salmons. In the process, it might breed, die of hunger,
or die of old age.
@param field The field currently occupied.
@param newkingfisheres A list to return newly born kingfisheres.",Kingfisher.java,28.0,2
1,"public void spreadDisease()
    {
     Field field = getField();
     List<Location> adjacent = field.adjacentLocations(getLocation());
     Iterator<Location> iterator = adjacent.iterator();
     while (iterator.hasNext()) {
         Location nearby = iterator.next();
         Object animal = field.getObjectAt(nearby); // Checks through neighbouring elements to detect animal.
         if (animal instanceof Kingfisher) { // Only animals of the same species can infect each other.
             Kingfisher kingfisher = (Kingfisher) animal;
             if (kingfisher.isHealthy()) { // Spreads disease only if animal is currently healthy
                Random rand = new Random ();
                boolean randomSpread = (rand.nextDouble() <= DISEASE_SPREAD_PROBABILITY ) ? true : false;
                if (randomSpread){ // Random chance that it spreads.
                    kingfisher.makeSick();
                    kingfisher.age = MAX_AGE - MAX_AGE/10;
                }    
            }    
        }     
    }        
    }",Spread the disease.,Kingfisher.java,28.0,2
2,"private void incrementAge()
    {
        age++;
        if(age > MAX_AGE) {
            setDead();
        }
    }",Increase the age. This could result in the kingfisher's death.,Kingfisher.java,28.0,2
3,"private void incrementHunger()
    {
        foodLevel--;
        if(foodLevel <= 0) {
            setDead();
        }
    }",Make this kingfisher more hungry. This could result in the kingfisher's death.,Kingfisher.java,28.0,2
4,"protected Location findFood()
    {
        Field field = getField();
        List<Location> adjacent = field.adjacentLocations(getLocation());
        Iterator<Location> it = adjacent.iterator();
        while(it.hasNext()) {
            Location where = it.next();
            Object animal = field.getObjectAt(where);
            if(animal instanceof Salmon) {
                Salmon salmon = (Salmon) animal;
                if(salmon.isAlive() && foodLevel < FOOD_LIMIT && rand.nextDouble() > 0.875) { 
                    salmon.setDead();
                    foodLevel += SALMON_FOOD_VALUE;
                    return where;
                }
            }
            Object object = field.getObjectAt(where);
            if(object instanceof Plant) {
                Plant plant = (Plant) object;
                if(plant.isAlive() && foodLevel < FOOD_LIMIT && rand.nextDouble() > 0.875) { 
                    foodLevel += plant.getFoodValue();
                    plant.setDead();
                    return where;
                }
            }
        }
        return null;
    }","Look for salmons adjacent to the current location.
Only the first live salmon is eaten.
@return Where food was found, or null if it wasn't.",Kingfisher.java,28.0,2
5,"private void giveBirth(List<Animal> newkingfishers)
    {
        // New kingfisheres are born into adjacent locations.
        // Get a list of adjacent free locations.
        Field field = getField();
        
        List<Location> locations = field.adjacentLocations(location);
        for (Location loc : locations){
            Object obj = field.getObjectAt(loc.getRow(), loc.getCol());
            if (obj != null && obj.getClass() == this.getClass())
            {
                if (((Kingfisher)obj).getGender() != isMale)
                {
                    List<Location> free = field.getFreeAdjacentLocations(getLocation());
                    boolean randomGender = (rand.nextDouble()>0.5) ? true : false;
                    int births = breed(obj);
                    for(int b = 0; b < births && free.size() > 0; b++) {
                        Location l = free.remove(0);
                        Kingfisher young = new Kingfisher(field, l, randomGender, false);
                        newkingfishers.add(young);
                    }
                    break;
                }
            }
        }
    }","Check whether or not this kingfisher is to give birth at this step.
New births will be made into free adjacent locations.
@param newkingfisheres A list to return newly born kingfisheres.",Kingfisher.java,28.0,2
6,"private int breed(Object obj)
    {
        int births = 0;
        if(((Kingfisher)obj).canBreed() && canBreed() && rand.nextDouble() <= BREEDING_PROBABILITY) {
            births = rand.nextInt(MAX_LITTER_SIZE) + 1;
        }
        return births;
    }","Generate a number representing the number of births,
if it can breed.
@return The number of births (may be zero).",Kingfisher.java,28.0,2
7,"private boolean canBreed()
    {
        return age >= BREEDING_AGE;
    }",A kingfisher can breed if it has reached the breeding age.,Kingfisher.java,28.0,2
0,"public void act(List<Animal> newRabbits)
    {
        incrementAge();
        if(isAlive()) {
            giveBirth(newRabbits);            
            // Try to move into a free location.
            Location newLocation = getField().freeAdjacentLocation(getLocation());
            if(newLocation != null) {
                setLocation(newLocation);
            }
            else {
                // Overcrowding.
                setDead();
            }
        }
    }","This is what the rabbit does most of the time - it runs
around. Sometimes it will breed or die of old age.
@param newRabbits A list to return newly born rabbits.",Rabbit.java,28.0,2
1,"private void incrementAge()
    {
        age++;
        if(age > MAX_AGE) {
            setDead();
        }
    }","Increase the age.
This could result in the rabbit's death.",Rabbit.java,28.0,2
