func_code_string,label,query,text
"private static long toJavaSecs(long secs) {
    // postgres epoc to java epoc
    secs += 946684800L;

    // Julian/Gregorian calendar cutoff point
    if (secs < -12219292800L) { // October 4, 1582 -> October 15, 1582
      secs += 86400 * 10;
      if (secs < -14825808000L) { // 1500-02-28 -> 1500-03-01
        int extraLeaps = (int) ((secs + 14825808000L) / 3155760000L);
        extraLeaps--;
        extraLeaps -= extraLeaps / 4;
        secs += extraLeaps * 86400L;
      }
    }
    return secs;
  }",0,postgresql connection,"postgresql connection<CODESPLIT>private static long toJavaSecs(long secs) {     // postgres epoc to java epoc     secs += 946684800L;      // Julian/Gregorian calendar cutoff point     if (secs < -12219292800L) { // October 4, 1582 -> October 15, 1582       secs += 86400 * 10;       if (secs < -14825808000L) { // 1500-02-28 -> 1500-03-01         int extraLeaps = (int) ((secs + 14825808000L) / 3155760000L);         extraLeaps--;         extraLeaps -= extraLeaps / 4;         secs += extraLeaps * 86400L;       }     }     return secs;   }"
"private byte[] recv(Socket socket, int flags)
    {
        Utils.checkArgument(socket != null, ""socket parameter must not be null"");
        data = socket.recv(flags);
        more = socket.hasReceiveMore();
        return data;
    }",1,socket recv timeout,"socket recv timeout<CODESPLIT>private byte[] recv(Socket socket, int flags)     {         Utils.checkArgument(socket != null, ""socket parameter must not be null"");         data = socket.recv(flags);         more = socket.hasReceiveMore();         return data;     }"
"public HtmlElement findHtmlElementById(String elementId) {
        try {
            return htmlPage.getHtmlElementById(elementId);
        } catch (ElementNotFoundException e) {
            return null;
        }
    }",2,reading element from html - <td>,reading element from html - <td><CODESPLIT>public HtmlElement findHtmlElementById(String elementId) {         try {             return htmlPage.getHtmlElementById(elementId);         } catch (ElementNotFoundException e) {             return null;         }     }
"public static HtmlPage toHtmlPage(String string) {
        try {
            URL url = new URL(""http://bitvunit.codescape.de/some_page.html"");
            return HTMLParser.parseHtml(new StringWebResponse(string, url), new WebClient().getCurrentWindow());
        } catch (IOException e) {
            throw new RuntimeException(""Error creating HtmlPage from String."", e);
        }
    }",3,how to get html of website,"how to get html of website<CODESPLIT>public static HtmlPage toHtmlPage(String string) {         try {             URL url = new URL(""http://bitvunit.codescape.de/some_page.html"");             return HTMLParser.parseHtml(new StringWebResponse(string, url), new WebClient().getCurrentWindow());         } catch (IOException e) {             throw new RuntimeException(""Error creating HtmlPage from String."", e);         }     }"
"private static long toPgSecs(long secs) {
    // java epoc to postgres epoc
    secs -= 946684800L;

    // Julian/Greagorian calendar cutoff point
    if (secs < -13165977600L) { // October 15, 1582 -> October 4, 1582
      secs -= 86400 * 10;
      if (secs < -15773356800L) { // 1500-03-01 -> 1500-02-28
        int years = (int) ((secs + 15773356800L) / -3155823050L);
        years++;
        years -= years / 4;
        secs += years * 86400;
      }
    }

    return secs;
  }",0,postgresql connection,"postgresql connection<CODESPLIT>private static long toPgSecs(long secs) {     // java epoc to postgres epoc     secs -= 946684800L;      // Julian/Greagorian calendar cutoff point     if (secs < -13165977600L) { // October 15, 1582 -> October 4, 1582       secs -= 86400 * 10;       if (secs < -15773356800L) { // 1500-03-01 -> 1500-02-28         int years = (int) ((secs + 15773356800L) / -3155823050L);         years++;         years -= years / 4;         secs += years * 86400;       }     }      return secs;   }"
"public static <T> T median(List<? extends T> data, Comparator<? super T> comparator) {
    return median(data, comparator, 0, data.size());
  }",1,deducting the median from each column,"deducting the median from each column<CODESPLIT>public static <T> T median(List<? extends T> data, Comparator<? super T> comparator) {     return median(data, comparator, 0, data.size());   }"
"public static String readTextFile(File file) throws IOException
    {
        //create reader to file (with default encoding)
        InputStream inputStream=new FileInputStream(file);
        Reader reader=IOHelper.createReader(inputStream,null);

        //read text
        String text=IOHelper.readTextStream(reader);
        
        return text;
    }",2,buffered file reader read text,"buffered file reader read text<CODESPLIT>public static String readTextFile(File file) throws IOException     {         //create reader to file (with default encoding)         InputStream inputStream=new FileInputStream(file);         Reader reader=IOHelper.createReader(inputStream,null);          //read text         String text=IOHelper.readTextStream(reader);                  return text;     }"
"public static HtmlPage toHtmlPage(WebDriver webDriver) {
        try {
            return HTMLParser.parseHtml(
                    new StringWebResponse(webDriver.getPageSource(), new URL(webDriver.getCurrentUrl())),
                    new WebClient().getCurrentWindow()
            );
        } catch (IOException e) {
            throw new RuntimeException(""Error creating HtmlPage from WebDriver."", e);
        }
    }",3,how to get html of website,"how to get html of website<CODESPLIT>public static HtmlPage toHtmlPage(WebDriver webDriver) {         try {             return HTMLParser.parseHtml(                     new StringWebResponse(webDriver.getPageSource(), new URL(webDriver.getCurrentUrl())),                     new WebClient().getCurrentWindow()             );         } catch (IOException e) {             throw new RuntimeException(""Error creating HtmlPage from WebDriver."", e);         }     }"
"public String posSubst(String s, String[] subs, int behavior) {
        Matcher matcher = posPattern.matcher(s);
        int previousEnd = 0;
        StringBuffer sb = new StringBuffer();
        String varValue;
        int varIndex;
        String condlVal;  // Conditional : value
        while (matcher.find()) {
            varIndex = Integer.parseInt(matcher.group(1)) - 1;
            condlVal = ((matcher.groupCount() > 1) ? matcher.group(2) : null);
            varValue = ((varIndex < subs.length) ? subs[varIndex] : null);
            if (condlVal != null) {
                // Replace varValue (the value to be substituted), with
                // the post-:+ portion of the expression.
                varValue = ((varValue == null)
                        ? """"
                        : condlVal.replaceAll(""\\Q%"" + (varIndex+1) + ""\\E\\b"",
                                RefCapablePropertyResourceBundle.literalize(
                                        varValue)));
            }
            // System.err.println(""Behavior: "" + behavior);
            if (varValue == null) switch (behavior) {
                case THROW_BEHAVIOR:
                    throw new RuntimeException(
                            Integer.toString(subs.length)
                            + "" positional values given, but property string ""
                            + ""contains ("" + matcher.group() + "")."");
                case EMPTYSTRING_BEHAVIOR:
                    varValue = """";
                case NOOP_BEHAVIOR:
                    break;
                default:
                    throw new RuntimeException(
                            ""Undefined value for behavior: "" + behavior);
            }
            sb.append(s.substring(previousEnd, matcher.start())
                        + ((varValue == null) ? matcher.group() : varValue));
            previousEnd = matcher.end();
        }
        return (previousEnd < 1) ? s
                                 : (sb.toString() + s.substring(previousEnd));
    }",0,positions of substrings in string,"positions of substrings in string<CODESPLIT>public String posSubst(String s, String[] subs, int behavior) {         Matcher matcher = posPattern.matcher(s);         int previousEnd = 0;         StringBuffer sb = new StringBuffer();         String varValue;         int varIndex;         String condlVal;  // Conditional : value         while (matcher.find()) {             varIndex = Integer.parseInt(matcher.group(1)) - 1;             condlVal = ((matcher.groupCount() > 1) ? matcher.group(2) : null);             varValue = ((varIndex < subs.length) ? subs[varIndex] : null);             if (condlVal != null) {                 // Replace varValue (the value to be substituted), with                 // the post-:+ portion of the expression.                 varValue = ((varValue == null)                         ? """"                         : condlVal.replaceAll(""\\Q%"" + (varIndex+1) + ""\\E\\b"",                                 RefCapablePropertyResourceBundle.literalize(                                         varValue)));             }             // System.err.println(""Behavior: "" + behavior);             if (varValue == null) switch (behavior) {                 case THROW_BEHAVIOR:                     throw new RuntimeException(                             Integer.toString(subs.length)                             + "" positional values given, but property string ""                             + ""contains ("" + matcher.group() + "")."");                 case EMPTYSTRING_BEHAVIOR:                     varValue = """";                 case NOOP_BEHAVIOR:                     break;                 default:                     throw new RuntimeException(                             ""Undefined value for behavior: "" + behavior);             }             sb.append(s.substring(previousEnd, matcher.start())                         + ((varValue == null) ? matcher.group() : varValue));             previousEnd = matcher.end();         }         return (previousEnd < 1) ? s                                  : (sb.toString() + s.substring(previousEnd));     }"
"public static <V extends NumberVector> double logLikelihoodZhao(Relation<V> relation, Clustering<? extends MeanModel> clustering, NumberVectorDistanceFunction<? super V> distanceFunction) {
    List<? extends Cluster<? extends MeanModel>> clusters = clustering.getAllClusters();
    // number of clusters
    final int m = clusters.size();

    // number of objects in the clustering
    int n = 0;
    // cluster sizes
    int[] n_i = new int[m];
    // variances
    double[] d_i = new double[m];

    // Iterate over clusters:
    Iterator<? extends Cluster<? extends MeanModel>> it = clusters.iterator();
    for(int i = 0; it.hasNext(); ++i) {
      Cluster<? extends MeanModel> cluster = it.next();
      n += n_i[i] = cluster.size();
      // Note: the paper used 1/(n-m) but that is probably a typo
      // as it will cause divisions by zero.
      d_i[i] = varianceOfCluster(cluster, distanceFunction, relation) / (double) n_i[i];
    }

    final int dim = RelationUtil.dimensionality(relation);

    // log likelihood of this clustering
    double logLikelihood = 0.;
    // Aggregate
    for(int i = 0; i < m; i++) {
      logLikelihood += n_i[i] * FastMath.log(n_i[i] / (double) n) // ni log ni/n
          - n_i[i] * dim * .5 * MathUtil.LOGTWOPI // ni*d/2 log2pi
          - n_i[i] * .5 * FastMath.log(d_i[i]) // ni/2 log sigma_i
          - (n_i[i] - m) * .5; // (ni-m)/2
    }
    return logLikelihood;
  }",1,k means clustering,"k means clustering<CODESPLIT>public static <V extends NumberVector> double logLikelihoodZhao(Relation<V> relation, Clustering<? extends MeanModel> clustering, NumberVectorDistanceFunction<? super V> distanceFunction) {     List<? extends Cluster<? extends MeanModel>> clusters = clustering.getAllClusters();     // number of clusters     final int m = clusters.size();      // number of objects in the clustering     int n = 0;     // cluster sizes     int[] n_i = new int[m];     // variances     double[] d_i = new double[m];      // Iterate over clusters:     Iterator<? extends Cluster<? extends MeanModel>> it = clusters.iterator();     for(int i = 0; it.hasNext(); ++i) {       Cluster<? extends MeanModel> cluster = it.next();       n += n_i[i] = cluster.size();       // Note: the paper used 1/(n-m) but that is probably a typo       // as it will cause divisions by zero.       d_i[i] = varianceOfCluster(cluster, distanceFunction, relation) / (double) n_i[i];     }      final int dim = RelationUtil.dimensionality(relation);      // log likelihood of this clustering     double logLikelihood = 0.;     // Aggregate     for(int i = 0; i < m; i++) {       logLikelihood += n_i[i] * FastMath.log(n_i[i] / (double) n) // ni log ni/n           - n_i[i] * dim * .5 * MathUtil.LOGTWOPI // ni*d/2 log2pi           - n_i[i] * .5 * FastMath.log(d_i[i]) // ni/2 log sigma_i           - (n_i[i] - m) * .5; // (ni-m)/2     }     return logLikelihood;   }"
