time,epochs,messages,response,label
20240201-215401,50,"[{'role': 'system', 'content': 'You will be provided a description and a piece of code, and your task is to say if the description is relevant to the code, using irrelevant, partially irrelevant, partially relevant, relevant only'}, {'role': 'user', 'content': ""The description is ['finding time elapsed using a timer'] and the source code is ['public S animate(Timer timer)\\n\\t{\\n\\t\\tlong elapsed = timer.elapsedTime() - Timer.tickToTime(delay);\\n\\t\\tstarted = elapsed > transform.getDelay();\\n\\t\\tfinished = elapsed > transform.totalDuration() && transform.getLoops() != -1;\\n\\n\\t\\tif (!started && !renderBefore)\\n\\t\\t\\treturn null;\\n\\t\\tif (finished && !renderAfter)\\n\\t\\t\\treturn null;\\n\\n\\t\\ttransform.transform(transformable, elapsed);\\n\\t\\treturn transformable;\\n\\t}'].""}]",Partially relevant,['partially relevant']
20240201-215401,50,"[{'role': 'system', 'content': 'You will be provided a description and a piece of code, and your task is to say if the description is relevant to the code, using irrelevant, partially irrelevant, partially relevant, relevant only'}, {'role': 'user', 'content': ""The description is ['get current observable value'] and the source code is ['public <T> Observable<T> getAndObserve(String key, Class<T> classOfT, T defaultValue) {\\n    return getAndObserve(key, TypeToken.fromClass(classOfT), defaultValue);\\n  }'].""}]",Partially relevant,['irrelevant']
20240201-215401,50,"[{'role': 'system', 'content': 'You will be provided a description and a piece of code, and your task is to say if the description is relevant to the code, using irrelevant, partially irrelevant, partially relevant, relevant only'}, {'role': 'user', 'content': 'The description is [\'create cookie\'] and the source code is [\'private Cookie createCookie(String str) throws UnsupportedEncodingException {\\n    if (LOG.isDebugEnabled()) {\\n      LOG.debug(""Cookie name = "" + AUTH_COOKIE + "" value = "" + str);\\n    }\\n    Cookie cookie = new Cookie(AUTH_COOKIE, str);\\n\\n    cookie.setMaxAge(cookieMaxAge);\\n    if (cookieDomain != null) {\\n      cookie.setDomain(cookieDomain);\\n    }\\n    if (cookiePath != null) {\\n      cookie.setPath(cookiePath);\\n    }\\n    cookie.setSecure(isCookieSecure);\\n    return cookie;\\n  }\'].'}]",Relevant,['partially relevant']
20240201-215401,50,"[{'role': 'system', 'content': 'You will be provided a description and a piece of code, and your task is to say if the description is relevant to the code, using irrelevant, partially irrelevant, partially relevant, relevant only'}, {'role': 'user', 'content': 'The description is [\'print model summary\'] and the source code is [\'private static void summarizeDeepLearningModel(ModelSummary summary, hex.deeplearning.DeepLearningModel model) {\\n    // add generic fields such as column names\\n    summarizeModelCommonFields(summary, model);\\n\\n    summary.model_algorithm = ""DeepLearning"";\\n\\n    JsonObject all_params = (model.get_params()).toJSON();\\n    summary.critical_parameters = whitelistJsonObject(all_params, DL_critical_params);\\n    summary.secondary_parameters = whitelistJsonObject(all_params, DL_secondary_params);\\n    summary.expert_parameters = whitelistJsonObject(all_params, DL_expert_params);\\n  }\'].'}]",Partially relevant,['irrelevant']
20240201-215401,50,"[{'role': 'system', 'content': 'You will be provided a description and a piece of code, and your task is to say if the description is relevant to the code, using irrelevant, partially irrelevant, partially relevant, relevant only'}, {'role': 'user', 'content': ""The description is ['matrix multiply'] and the source code is ['public Matrix multiply(Matrix B, ExecutorService threadPool)\\n    {\\n        Matrix C = new DenseMatrix(this.rows(), B.cols());\\n        multiply(B, C, threadPool);\\n        return C;\\n    }'].""}]",Irrelevant,['relevant']
20240201-215401,50,"[{'role': 'system', 'content': 'You will be provided a description and a piece of code, and your task is to say if the description is relevant to the code, using irrelevant, partially irrelevant, partially relevant, relevant only'}, {'role': 'user', 'content': 'The description is [\'create cookie\'] and the source code is [\'private static String getHttpOnlyCookieHeader(Cookie cookie) {\\n    NewCookie newCookie = new NewCookie(cookie.getName(), cookie.getValue(),\\n      cookie.getPath(), cookie.getDomain(), cookie.getVersion(),\\n      cookie.getComment(), cookie.getMaxAge(), cookie.getSecure());\\n    return newCookie + ""; HttpOnly"";\\n  }\'].'}]",Partially relevant,['partially relevant']
20240201-215401,50,"[{'role': 'system', 'content': 'You will be provided a description and a piece of code, and your task is to say if the description is relevant to the code, using irrelevant, partially irrelevant, partially relevant, relevant only'}, {'role': 'user', 'content': ""The description is ['hash set for counting distinct elements'] and the source code is ['public NumberExpression<Long> countDistinct() {\\n        if (countDistinct == null) {\\n            countDistinct = Expressions.numberOperation(Long.class, Ops.AggOps.COUNT_DISTINCT_AGG, mixin);\\n        }\\n        return countDistinct;\\n    }'].""}]",Irrelevant,['irrelevant']
20240201-215401,50,"[{'role': 'system', 'content': 'You will be provided a description and a piece of code, and your task is to say if the description is relevant to the code, using irrelevant, partially irrelevant, partially relevant, relevant only'}, {'role': 'user', 'content': 'The description is [\'convert a date string into yyyymmdd\'] and the source code is [\'public static Date getDay(String string) {\\n\\t\\tif (string == null) {\\n\\t\\t\\treturn null;\\n\\t\\t}\\n\\t\\tDate date = null;\\n\\t\\ttry {\\n\\t\\t\\tdate = (new SimpleDateFormat(""dd-MMM-yyyy"").parse(string));\\n\\t\\t}\\n\\t\\tcatch (ParseException ex) {\\n\\t\\t\\treturn null;\\n\\t\\t}\\n\\t\\treturn date;\\n\\t}\'].'}]",Partially relevant,['partially relevant']
20240201-215401,50,"[{'role': 'system', 'content': 'You will be provided a description and a piece of code, and your task is to say if the description is relevant to the code, using irrelevant, partially irrelevant, partially relevant, relevant only'}, {'role': 'user', 'content': 'The description is [\'deserialize json\'] and the source code is [\'public static Object deserialize(String json, TypeReference<?> typeReference) throws SerializationException {\\n\\t\\ttry {\\n\\t\\t\\tlogger.debug(""Json string to deserialize {} "", json);\\n\\t\\t\\treturn mapper.readValue(json, typeReference);\\n\\t\\t} catch (IOException e) {\\n\\t\\t\\tlogger.error(""SerializationException {}"", e.getMessage());\\n\\t\\t\\tSerializationException serializationException = new SerializationException(e);\\n\\t\\t\\tthrow serializationException;\\n\\t\\t}\\n\\t}\'].'}]",relevant only,['partially relevant']
20240201-215401,50,"[{'role': 'system', 'content': 'You will be provided a description and a piece of code, and your task is to say if the description is relevant to the code, using irrelevant, partially irrelevant, partially relevant, relevant only'}, {'role': 'user', 'content': 'The description is [\'get current process id\'] and the source code is [\'protected int getCurrentProcessID() throws ProcessHandlerException {\\n        int pid;\\n        // Not ideal but using JNA failed on RHEL5.\\n        RuntimeMXBean runtime = ManagementFactory.getRuntimeMXBean();\\n        Field jvm = null;\\n        try {\\n            jvm = runtime.getClass().getDeclaredField(""jvm"");\\n            jvm.setAccessible(true);\\n            VMManagement mgmt = (VMManagement) jvm.get(runtime);\\n            Method pid_method = mgmt.getClass().getDeclaredMethod(""getProcessId"");\\n            pid_method.setAccessible(true);\\n            pid = (Integer) pid_method.invoke(mgmt);\\n        } catch (NoSuchFieldException | NoSuchMethodException | IllegalAccessException | InvocationTargetException e) {\\n            throw new ProcessHandlerException(e);\\n        }\\n        return pid;\\n    }\'].'}]",relevant only,['partially relevant']
20240201-215401,50,"[{'role': 'system', 'content': 'You will be provided a description and a piece of code, and your task is to say if the description is relevant to the code, using irrelevant, partially irrelevant, partially relevant, relevant only'}, {'role': 'user', 'content': ""The description is ['get executable path'] and the source code is ['public static void copy(Path sourcePath, Path targetPath, boolean executable) throws IOException {\\n\\t\\t// we unwrap the file system to get raw streams without safety net\\n\\t\\tFileSystem sFS = FileSystem.getUnguardedFileSystem(sourcePath.toUri());\\n\\t\\tFileSystem tFS = FileSystem.getUnguardedFileSystem(targetPath.toUri());\\n\\t\\tif (!tFS.exists(targetPath)) {\\n\\t\\t\\tif (sFS.getFileStatus(sourcePath).isDir()) {\\n\\t\\t\\t\\tinternalCopyDirectory(sourcePath, targetPath, executable, sFS, tFS);\\n\\t\\t\\t} else {\\n\\t\\t\\t\\tinternalCopyFile(sourcePath, targetPath, executable, sFS, tFS);\\n\\t\\t\\t}\\n\\t\\t}\\n\\t}'].""}]",Partially relevant,['relevant']
20240201-215401,50,"[{'role': 'system', 'content': 'You will be provided a description and a piece of code, and your task is to say if the description is relevant to the code, using irrelevant, partially irrelevant, partially relevant, relevant only'}, {'role': 'user', 'content': 'The description is [\'extract data from html content\'] and the source code is [""private void extract(String htmlDoc) {\\n\\n    //now extract the contents of <body>...\\n    int bodyStart = htmlDoc.indexOf(BODY_BEGIN) + BODY_BEGIN.length();\\n\\n    //scan for end of the <body> start tag (beginning of body content)\\n    char quote = NOT_IN_QUOTE;\\n    for (int body = bodyStart; body < htmlDoc.length(); body++) {\\n      final char c = htmlDoc.charAt(body);\\n      if (isQuoteChar(c)) {\\n        if (quote == NOT_IN_QUOTE)\\n          quote = c;\\n        else if (quote == c)\\n          quote = NOT_IN_QUOTE;\\n      }\\n\\n      if (\'>\' == c && NOT_IN_QUOTE == quote) {\\n        bodyStart = body + 1;\\n        break;\\n      }\\n    }\\n\\n    int bodyEnd = htmlDoc.indexOf(BODY_END, bodyStart);\\n\\n    //if there was no body tag, just embed whatever was rendered directly\\n    if (-1 == bodyEnd) {\\n      EmbeddedRespond.this.body = htmlDoc;\\n    } else\\n      EmbeddedRespond.this.body = htmlDoc.substring(bodyStart, bodyEnd);\\n  }""].'}]",Partially relevant,['partially relevant']
20240201-215401,50,"[{'role': 'system', 'content': 'You will be provided a description and a piece of code, and your task is to say if the description is relevant to the code, using irrelevant, partially irrelevant, partially relevant, relevant only'}, {'role': 'user', 'content': 'The description is [\'how to randomly pick a number\'] and the source code is [""public TernaryVector generate() {\\n        HashSet<Integer> pos = new HashSet<Integer>();\\n        HashSet<Integer> neg = new HashSet<Integer>();\\n        \\n        // Randomly decide how many bits to set in the index vector based on the\\n        // variance.\\n        int bitsToSet = numVectorValues +\\n            (int)(RANDOM.nextDouble() * variance *\\n                  ((RANDOM.nextDouble() > .5) ? 1 : -1));\\n\\n        for (int i = 0; i < bitsToSet; ++i) {\\n            boolean picked = false;\\n            // loop to ensure we actually pick the full number of bits\\n            while (!picked) {\\n                // pick some random index\\n                int index = RANDOM.nextInt(indexVectorLength);\\n                    \\n                // check that we haven\'t already added this index\\n                if (pos.contains(index) || neg.contains(index))\\n                    continue;\\n                    \\n                // decide positive or negative\\n                ((RANDOM.nextDouble() > .5) ? pos : neg).add(index);\\n                picked = true;\\n            }\\n        }\\n            \\n        int[] positive = new int[pos.size()];\\n        int[] negative = new int[neg.size()];\\n\\n        Iterator<Integer> it = pos.iterator();\\n        for (int i = 0; i < positive.length; ++i) \\n            positive[i] = it.next();\\n\\n        it = neg.iterator();\\n        for (int i = 0; i < negative.length; ++i) \\n            negative[i] = it.next();                \\n\\n        // sort so we can use a binary search in getValue()\\n        Arrays.sort(positive);\\n        Arrays.sort(negative);\\n        return new TernaryVector(indexVectorLength, positive, negative);\\n    }""].'}]",Partially relevant,['partially irrelevant']
20240201-215401,50,"[{'role': 'system', 'content': 'You will be provided a description and a piece of code, and your task is to say if the description is relevant to the code, using irrelevant, partially irrelevant, partially relevant, relevant only'}, {'role': 'user', 'content': 'The description is [\'memoize to disk  - persistent memoization\'] and the source code is [\'public Closure<V> memoizeAtMost(final int maxCacheSize) {\\n        if (maxCacheSize < 0) throw new IllegalArgumentException(""A non-negative number is required as the maxCacheSize parameter for memoizeAtMost."");\\n\\n        return Memoize.buildMemoizeFunction(new LRUCache(maxCacheSize), this);\\n    }\'].'}]",Partially relevant,['partially irrelevant']
20240201-215401,50,"[{'role': 'system', 'content': 'You will be provided a description and a piece of code, and your task is to say if the description is relevant to the code, using irrelevant, partially irrelevant, partially relevant, relevant only'}, {'role': 'user', 'content': 'The description is [\'get the description of a http status code\'] and the source code is [\'public static String getStatusDescription(int status)\\n   {\\n      String description = """";\\n\\n      Integer statusKey = new Integer(status);\\n      if (statusDescriptions.containsKey(statusKey))\\n      {\\n         description = statusDescriptions.get(statusKey);\\n      }\\n\\n      return String.format(""%s %d %s"", WebDavConst.HTTPVER, status, description);\\n   }\'].'}]",Relevant only,['partially relevant']
