,summary,config,name,group,tag
0,"{'_runtime': 2.639791250228882, '_step': 20, '_timestamp': 1733918378.3011725, '_wandb': {'runtime': 2}, 'eval/accuracy': 0.575, 'eval/f1_macro': 0.5552631578947368, 'eval/f1_micro': 0.575, 'eval/f1_weighted': 0.5552631578947368, 'eval/loss': 5.027636286591455, 'eval/precision_macro': 0.5590277777777778, 'eval/precision_micro': 0.575, 'eval/precision_weighted': 0.5590277777777778, 'eval/recall_macro': 0.575, 'eval/recall_micro': 0.575, 'eval/recall_weighted': 0.575, 'split': 10, 'test/accuracy': 0.31746031746031744, 'test/f1_macro': 0.3133327489481066, 'test/f1_micro': 0.31746031746031744, 'test/f1_weighted': 0.33410694806206725, 'test/loss': 13.074117502256277, 'test/precision_macro': 0.33057598039215685, 'test/precision_micro': 0.31746031746031744, 'test/precision_weighted': 0.41246498599439774, 'test/recall_macro': 0.3487840284715285, 'test/recall_micro': 0.31746031746031744, 'test/recall_weighted': 0.31746031746031744}","{'n_neighbours': 3, 'trial.number': 0}",stellar-serenity-596,KNeighbours,"['BoW', 'preprocessed']"
1,"{'_runtime': 3.436563014984131, '_step': 20, '_timestamp': 1733918388.436377, '_wandb': {'runtime': 2}, 'eval/accuracy': 0.5, 'eval/f1_macro': 0.5027270523594053, 'eval/f1_micro': 0.5, 'eval/f1_weighted': 0.5027270523594053, 'eval/loss': 4.353746033933542, 'eval/precision_macro': 0.5455898268398268, 'eval/precision_micro': 0.5, 'eval/precision_weighted': 0.5455898268398268, 'eval/recall_macro': 0.5, 'eval/recall_micro': 0.5, 'eval/recall_weighted': 0.5, 'split': 10, 'test/accuracy': 0.3333333333333333, 'test/f1_macro': 0.3193650793650794, 'test/f1_micro': 0.3333333333333333, 'test/f1_weighted': 0.33740488788107836, 'test/loss': 12.625073240886476, 'test/precision_macro': 0.31751336898395727, 'test/precision_micro': 0.3333333333333333, 'test/precision_weighted': 0.3843476784653255, 'test/recall_macro': 0.35502778471528473, 'test/recall_micro': 0.3333333333333333, 'test/recall_weighted': 0.3333333333333333}","{'n_neighbours': 4, 'trial.number': 1}",dark-monkey-597,KNeighbours,"['BoW', 'preprocessed']"
2,"{'_runtime': 3.64565372467041, '_step': 20, '_timestamp': 1733918398.8321357, '_wandb': {'runtime': 2}, 'eval/accuracy': 0.35, 'eval/f1_macro': 0.32982142857142854, 'eval/f1_micro': 0.35, 'eval/f1_weighted': 0.3298214285714286, 'eval/loss': 2.0610886218558853, 'eval/precision_macro': 0.32632575757575755, 'eval/precision_micro': 0.35, 'eval/precision_weighted': 0.32632575757575755, 'eval/recall_macro': 0.35000000000000003, 'eval/recall_micro': 0.35, 'eval/recall_weighted': 0.35, 'split': 10, 'test/accuracy': 0.25396825396825395, 'test/f1_macro': 0.23157486721316503, 'test/f1_micro': 0.25396825396825395, 'test/f1_weighted': 0.26359094393542215, 'test/loss': 6.788230496527469, 'test/precision_macro': 0.24601158645276297, 'test/precision_micro': 0.25396825396825395, 'test/precision_weighted': 0.3295376736553207, 'test/recall_macro': 0.25473745004995, 'test/recall_micro': 0.25396825396825395, 'test/recall_weighted': 0.25396825396825395}","{'n_neighbours': 7, 'trial.number': 2}",eager-sound-598,KNeighbours,"['BoW', 'preprocessed']"
3,"{'_runtime': 3.4758143424987793, '_step': 20, '_timestamp': 1733918408.7902124, '_wandb': {'runtime': 2}, 'eval/accuracy': 0.3, 'eval/f1_macro': 0.28312877054295815, 'eval/f1_micro': 0.3, 'eval/f1_weighted': 0.2831287705429582, 'eval/loss': 2.0677406690995617, 'eval/precision_macro': 0.27136752136752135, 'eval/precision_micro': 0.3, 'eval/precision_weighted': 0.2713675213675214, 'eval/recall_macro': 0.30000000000000004, 'eval/recall_micro': 0.3, 'eval/recall_weighted': 0.3, 'split': 10, 'test/accuracy': 0.2857142857142857, 'test/f1_macro': 0.25950757575757577, 'test/f1_micro': 0.2857142857142857, 'test/f1_weighted': 0.30316498316498314, 'test/loss': 5.708754246431148, 'test/precision_macro': 0.27730082417582413, 'test/precision_micro': 0.2857142857142857, 'test/precision_weighted': 0.3793389150532008, 'test/recall_macro': 0.28334946303696307, 'test/recall_micro': 0.2857142857142857, 'test/recall_weighted': 0.2857142857142857}","{'n_neighbours': 8, 'trial.number': 3}",kind-durian-599,KNeighbours,"['BoW', 'preprocessed']"
4,"{'_runtime': 3.363544225692749, '_step': 20, '_timestamp': 1733918418.8959382, '_wandb': {'runtime': 2}, 'eval/accuracy': 0.625, 'eval/f1_macro': 0.6276350461133069, 'eval/f1_micro': 0.625, 'eval/f1_weighted': 0.6276350461133069, 'eval/loss': 4.782715545863622, 'eval/precision_macro': 0.6794871794871795, 'eval/precision_micro': 0.625, 'eval/precision_weighted': 0.6794871794871795, 'eval/recall_macro': 0.625, 'eval/recall_micro': 0.625, 'eval/recall_weighted': 0.625, 'split': 10, 'test/accuracy': 0.42857142857142855, 'test/f1_macro': 0.37545537340619306, 'test/f1_micro': 0.42857142857142855, 'test/f1_weighted': 0.4409604764796021, 'test/loss': 19.067048633498185, 'test/precision_macro': 0.3844665870527939, 'test/precision_micro': 0.42857142857142855, 'test/precision_weighted': 0.45917735490806094, 'test/recall_macro': 0.3755697427572427, 'test/recall_micro': 0.42857142857142855, 'test/recall_weighted': 0.42857142857142855}","{'n_neighbours': 2, 'trial.number': 4}",bumbling-sponge-600,KNeighbours,"['BoW', 'preprocessed']"
5,"{'_runtime': 3.3967816829681396, '_step': 20, '_timestamp': 1733918429.0928028, '_wandb': {'runtime': 2}, 'eval/accuracy': 0.875, 'eval/f1_macro': 0.86133069828722, 'eval/f1_micro': 0.875, 'eval/f1_weighted': 0.86133069828722, 'eval/loss': 4.505456673639644, 'eval/precision_macro': 0.9006410256410257, 'eval/precision_micro': 0.875, 'eval/precision_weighted': 0.9006410256410258, 'eval/recall_macro': 0.875, 'eval/recall_micro': 0.875, 'eval/recall_weighted': 0.875, 'split': 10, 'test/accuracy': 0.3968253968253968, 'test/f1_macro': 0.371216544837629, 'test/f1_micro': 0.3968253968253968, 'test/f1_weighted': 0.41344326697439615, 'test/loss': 21.740616329943684, 'test/precision_macro': 0.3865489130434782, 'test/precision_micro': 0.3968253968253968, 'test/precision_weighted': 0.4629485852311939, 'test/recall_macro': 0.4008335414585415, 'test/recall_micro': 0.3968253968253968, 'test/recall_weighted': 0.3968253968253968}","{'n_neighbours': 1, 'trial.number': 5}",silver-fire-601,KNeighbours,"['BoW', 'preprocessed']"
6,"{'_runtime': 3.418170213699341, '_step': 20, '_timestamp': 1733918439.1963823, '_wandb': {'runtime': 2}, 'eval/accuracy': 0.875, 'eval/f1_macro': 0.86133069828722, 'eval/f1_micro': 0.875, 'eval/f1_weighted': 0.86133069828722, 'eval/loss': 4.505456673639644, 'eval/precision_macro': 0.9006410256410257, 'eval/precision_micro': 0.875, 'eval/precision_weighted': 0.9006410256410258, 'eval/recall_macro': 0.875, 'eval/recall_micro': 0.875, 'eval/recall_weighted': 0.875, 'split': 10, 'test/accuracy': 0.3968253968253968, 'test/f1_macro': 0.371216544837629, 'test/f1_micro': 0.3968253968253968, 'test/f1_weighted': 0.41344326697439615, 'test/loss': 21.740616329943684, 'test/precision_macro': 0.3865489130434782, 'test/precision_micro': 0.3968253968253968, 'test/precision_weighted': 0.4629485852311939, 'test/recall_macro': 0.4008335414585415, 'test/recall_micro': 0.3968253968253968, 'test/recall_weighted': 0.3968253968253968}","{'n_neighbours': 1, 'trial.number': 6}",vibrant-yogurt-602,KNeighbours,"['BoW', 'preprocessed']"
7,"{'_runtime': 2.5175111293792725, '_step': 20, '_timestamp': 1733918443.6459782, '_wandb': {'runtime': 2}, 'eval/accuracy': 0.8863636363636364, 'eval/f1_macro': 0.8739343563512362, 'eval/f1_micro': 0.8863636363636364, 'eval/f1_weighted': 0.8739343563512363, 'eval/loss': 0.6787467606699383, 'eval/precision_macro': 0.9022435897435898, 'eval/precision_micro': 0.8863636363636364, 'eval/precision_weighted': 0.9022435897435898, 'eval/recall_macro': 0.8863636363636364, 'eval/recall_micro': 0.8863636363636364, 'eval/recall_weighted': 0.8863636363636364, 'split': 10, 'test/accuracy': 0.492063492063492, 'test/f1_macro': 0.4623720642102995, 'test/f1_micro': 0.492063492063492, 'test/f1_weighted': 0.48644936607121486, 'test/loss': 5.325198272700601, 'test/precision_macro': 0.46035714285714285, 'test/precision_micro': 0.492063492063492, 'test/precision_weighted': 0.4851927437641724, 'test/recall_macro': 0.4687897279430459, 'test/recall_micro': 0.492063492063492, 'test/recall_weighted': 0.492063492063492}","{'smoothing': 0.27597349401234883, 'trial.number': 0}",fearless-spaceship-603,Bernolli,"['BoW', 'preprocessed']"
8,"{'_runtime': 3.466101884841919, '_step': 20, '_timestamp': 1733918449.409963, '_wandb': {'runtime': 2}, 'eval/accuracy': 0.625, 'eval/f1_macro': 0.6276350461133069, 'eval/f1_micro': 0.625, 'eval/f1_weighted': 0.6276350461133069, 'eval/loss': 4.782715545863622, 'eval/precision_macro': 0.6794871794871795, 'eval/precision_micro': 0.625, 'eval/precision_weighted': 0.6794871794871795, 'eval/recall_macro': 0.625, 'eval/recall_micro': 0.625, 'eval/recall_weighted': 0.625, 'split': 10, 'test/accuracy': 0.42857142857142855, 'test/f1_macro': 0.37545537340619306, 'test/f1_micro': 0.42857142857142855, 'test/f1_weighted': 0.4409604764796021, 'test/loss': 19.067048633498185, 'test/precision_macro': 0.3844665870527939, 'test/precision_micro': 0.42857142857142855, 'test/precision_weighted': 0.45917735490806094, 'test/recall_macro': 0.3755697427572427, 'test/recall_micro': 0.42857142857142855, 'test/recall_weighted': 0.42857142857142855}","{'n_neighbours': 2, 'trial.number': 7}",charmed-disco-604,KNeighbours,"['BoW', 'preprocessed']"
9,"{'_runtime': 3.5083043575286865, '_step': 20, '_timestamp': 1733918452.1398754, '_wandb': {'runtime': 2}, 'eval/accuracy': 0.9318181818181818, 'eval/f1_macro': 0.928823417238749, 'eval/f1_micro': 0.9318181818181818, 'eval/f1_weighted': 0.9288234172387492, 'eval/loss': 1.29566761075879, 'eval/precision_macro': 0.9407051282051282, 'eval/precision_micro': 0.9318181818181818, 'eval/precision_weighted': 0.940705128205128, 'eval/recall_macro': 0.931818181818182, 'eval/recall_micro': 0.9318181818181818, 'eval/recall_weighted': 0.9318181818181818, 'split': 10, 'test/accuracy': 0.47619047619047616, 'test/f1_macro': 0.40923194452606215, 'test/f1_micro': 0.47619047619047616, 'test/f1_weighted': 0.44587606604413327, 'test/loss': 11.153024907434377, 'test/precision_macro': 0.4180307539682539, 'test/precision_micro': 0.47619047619047616, 'test/precision_weighted': 0.4546878936759889, 'test/recall_macro': 0.431858632087465, 'test/recall_micro': 0.47619047619047616, 'test/recall_weighted': 0.47619047619047616}","{'smoothing': 0.0018040399118082195, 'trial.number': 1}",smooth-field-605,Bernolli,"['BoW', 'preprocessed']"
